Severity,Start_Time,Start_Lat,Start_Lng,Weather_Condition
1,2024-07-12 06:29:59,28.499123544539266,77.35130319519097,Cloudy
2,2024-03-30 20:31:16,19.10378772923187,72.88517588010976,Cloudy
1,2023-06-14 15:13:47,22.542449479968752,88.36731211286583,Clear
2,2024-02-22 08:19:03,28.5572996899946,77.19055656997523,Clear
3,2025-04-01 05:58:34,25.408448337696957,81.85131245791221,Clear
1,2023-10-20 21:41:58,28.454489178322756,76.99004473311173,Clear
1,2022-03-25 14:45:17,28.611418312311542,77.19726915593708,Cloudy
2,2024-03-12 13:40:21,22.55425200431634,88.37567126333676,Snow
3,2025-11-21 18:36:59,26.778423143541996,80.91718149817594,Rain
4,2023-11-03 19:21:33,28.654403559170586,77.20299765398642,Heavy Rain
3,2022-08-15 08:14:47,26.809895835458093,80.91197859596353,Clear
1,2022-07-13 15:16:52,13.118603683665567,80.3140228776334,Clear
1,2025-11-30 17:23:34,28.504123569678743,77.43286913459075,Clear
2,2025-05-01 11:21:41,28.537703078378968,77.37786466906003,Snow
3,2024-06-24 00:44:03,28.584938313705837,77.1724627656913,Clear
2,2022-06-22 16:21:37,28.481980219776116,77.03214371845134,Snow
3,2024-06-11 04:31:24,26.86267245905964,80.93335238738936,Fog
3,2022-11-29 03:39:26,12.925478048440882,77.62487437647732,Clear
2,2022-09-20 07:47:48,25.4761818988681,81.8487028009976,Windy
1,2024-12-20 11:31:54,26.86766962354812,80.89632458058023,Heavy Rain
1,2025-05-04 19:36:53,19.09567492180398,72.90855797611795,Clear
2,2025-04-23 05:22:48,28.56743723783119,77.19145880020665,Clear
3,2022-02-27 15:04:00,17.32027071979426,78.47561607792127,Clear
1,2023-06-22 08:19:51,22.56102058368716,88.37615913667885,Clear
1,2022-10-25 15:35:42,19.150455409481236,72.81311016403184,Fog
1,2022-01-22 15:52:51,28.399415719311207,77.03264930643687,Heavy Rain
2,2023-08-02 04:08:40,26.905526799968584,80.9461213829385,Clear
4,2024-07-13 12:39:50,26.83358681918247,80.98556822073444,Fog
2,2022-08-20 06:14:44,26.905279174406246,80.93832106037603,Clear
2,2022-10-06 21:22:46,22.62050369476749,88.37670406949731,Clear
1,2024-04-15 16:02:31,19.052065288482517,72.87737943365129,Clear
1,2023-01-11 11:22:21,28.678829150056238,77.2222379199901,Cloudy
1,2025-10-07 19:17:36,19.051140518559084,72.93612842108418,Cloudy
4,2023-02-27 22:42:34,12.970039046480167,77.56989051920753,Clear
3,2022-06-17 18:30:10,12.970430617796573,77.60684053887267,Heavy Rain
2,2025-04-26 01:00:09,19.058919551888977,72.8840905731475,Cloudy
1,2022-03-02 08:31:51,22.557605004783557,88.31899200972683,Clear
3,2022-06-25 08:52:17,26.868586141690752,80.94027539465836,Rain
1,2022-10-21 19:59:39,19.054188688964217,72.93263544231984,Clear
2,2025-08-19 14:46:48,26.780446012307735,80.93985016486087,Fog
2,2022-01-16 07:19:06,28.602416174907393,77.20733409642085,Clear
3,2024-05-16 21:58:21,13.027508905262756,77.61716414311495,Cloudy
2,2022-02-26 06:30:05,28.502939143037338,77.04633001528501,Clear
3,2023-05-26 19:31:05,28.586905570416288,77.19139816224867,Clear
2,2024-08-09 10:47:50,28.498719359262196,77.40112452882016,Clear
3,2024-05-03 20:58:40,26.849692966537383,80.88615020884767,Clear
1,2025-11-22 08:45:05,28.47562760968915,77.01283126467155,Clear
2,2024-10-06 07:12:44,19.098161831253517,72.85445062472645,Windy
1,2023-07-21 02:30:26,26.853147603033552,80.96754829855662,Rain
1,2023-01-29 16:33:39,17.331603477448418,78.50602436046555,Cloudy
1,2022-07-31 02:54:03,28.451036373061484,77.05894343450943,Cloudy
1,2024-02-14 18:51:47,22.599226066657238,88.364543371147,Cloudy
1,2023-01-02 13:33:57,22.574550892066423,88.38716670814036,Fog
2,2024-09-22 20:29:24,17.37463511470582,78.48238173813797,Cloudy
2,2023-08-20 12:35:00,19.08225502935176,72.87161648023357,Heavy Rain
2,2024-07-16 12:48:34,28.520022106589714,77.4067552416021,Clear
1,2025-07-29 07:03:39,25.424765263439177,81.85440315702162,Snow
2,2022-03-28 16:26:53,25.449248310269496,81.81466524138847,Clear
2,2024-03-27 04:12:31,26.838219916563755,80.92555842657666,Clear
2,2023-05-28 18:07:11,25.43141496820307,81.83152979361518,Cloudy
2,2022-10-25 08:36:06,28.53964225229793,77.40470429113411,Windy
1,2025-05-17 16:46:38,28.45451289018957,77.05628305055804,Cloudy
3,2024-11-24 13:42:45,25.45587018270908,81.87695908432694,Rain
1,2024-06-17 09:15:23,19.044889910568752,72.8721088025703,Cloudy
1,2025-07-29 21:19:07,22.626526333178088,88.34547311758217,Clear
1,2025-09-06 18:38:48,17.415552269382502,78.48723980398111,Clear
1,2024-02-03 03:10:53,28.48282269500837,77.35572132177803,Cloudy
2,2022-12-29 00:27:53,19.061353251277005,72.84790612058526,Clear
1,2022-07-08 15:11:49,17.455115915813373,78.47524353958175,Rain
3,2023-06-16 06:29:06,26.89370347160709,80.93812511596303,Clear
2,2024-11-01 15:01:02,13.069155556529482,80.32562344134497,Clear
3,2023-04-10 15:46:52,17.38730620630108,78.54497998338903,Clear
2,2022-09-16 11:19:21,28.521343819922656,77.34504804581347,Clear
1,2023-04-05 14:42:19,28.59048161339518,77.23713952735618,Heavy Rain
1,2022-08-05 23:46:02,13.081404716707437,80.24126330493607,Clear
2,2024-11-01 11:41:08,28.613356164444223,77.27071032401275,Cloudy
2,2025-03-19 22:24:48,17.365848287389113,78.44290253362162,Clear
2,2024-09-04 14:31:23,28.52783124931832,77.39338584851353,Clear
2,2022-05-09 18:39:09,28.624536563073327,77.22008983185567,Clear
3,2025-06-25 02:27:27,13.117160751321354,80.29837353115418,Heavy Rain
1,2025-04-27 20:43:51,25.464819437006756,81.86564519106274,Windy
1,2025-11-21 02:59:14,28.642690052242017,77.1630959611887,Cloudy
1,2025-01-09 17:27:24,26.791670347709637,80.94966105255493,Snow
3,2023-01-15 10:48:06,25.408730477568476,81.86899304721985,Clear
3,2024-08-21 22:20:12,25.458560891912374,81.87634605949236,Clear
4,2025-03-30 08:17:33,28.58520948798436,77.39754741282918,Snow
3,2023-04-26 18:02:04,28.507828160305447,77.38111907853263,Clear
